sep=;
Schulnummer;Anzahl;
"100010";"111";
"100011";"947";
"100012";"399";
"100014";"444";
"100015";"848";
"100016";"1004";
"100017";"292";
"100018";"736";
"100019";"934";
"100020";"214";
"100021";"958";
"100022";"799";
"100023";"1254";
"100024";"800";
"100025";"201";
"100026";"564";
"100027";"0";
"100028";"434";
"100029";"330";
"100032";"233";
"100033";"356";
"100035";"199";
"100036";"847";
"100037";"32";
"100038";"205";
"100039";"50";
"100040";"722";
"100041";"1152";
"100042";"894";
"100044";"744";
"100045";"355";
"100046";"514";
"100047";"495";
"100048";"753";
"100049";"61";
"100051";"723";
"100052";"1005";
"100053";"660";
"100054";"233";
"100057";"56";
"100058";"619";
"100059";"57";
"100060";"200";
"100061";"300";
"100062";"41";
"100063";"719";
"100064";"263";
"100065";"254";
"100066";"343";
"100067";"313";
"100068";"533";
"100069";"917";
"100070";"897";
"100071";"827";
"100073";"204";
"100074";"320";
"100075";"0";
"100076";"105";
"100077";"880";
"100078";"92";
"100079";"345";
"100081";"219";
"100082";"287";
"100083";"209";
"100084";"71";
"100085";"1144";
"100086";"49";
"100087";"207";
"100088";"402";
"100089";"764";
"100090";"491";
"100091";"223";
"100092";"229";
"100093";"366";
"100094";"262";
"100095";"124";
"100096";"749";
"100097";"279";
"100098";"962";
"100099";"179";
"100101";"144";
"100102";"143";
"100103";"1052";
"100104";"447";
"100105";"159";
"100106";"189";
"100107";"437";
"100108";"393";
"100109";"338";
"100111";"376";
"100112";"563";
"100113";"164";
"100114";"113";
"100115";"275";
"100116";"225";
"100117";"130";
"100118";"237";
"100119";"220";
"100120";"219";
"100121";"297";
"100122";"159";
"100123";"78";
"100124";"46";
"100125";"769";
"100126";"634";
"100127";"38";
"100128";"179";
"100129";"659";
"100130";"409";
"100131";"744";
"100132";"620";
"100133";"164";
"100135";"403";
"100136";"225";
"100137";"221";
"100138";"195";
"100139";"313";
"100141";"45";
"100142";"210";
"100143";"233";
"100144";"276";
"100145";"356";
"100147";"394";
"100148";"193";
"100149";"163";
"100150";"169";
"100151";"137";
"100152";"86";
"100153";"451";
"100154";"149";
"100155";"63";
"100156";"145";
"100157";"253";
"100158";"146";
"100159";"217";
"100160";"299";
"100161";"100";
"100162";"142";
"100163";"195";
"100164";"102";
"100165";"47";
"100166";"68";
"100167";"159";
"100168";"75";
"100169";"158";
"100170";"68";
"100171";"374";
"100172";"403";
"100173";"432";
"100174";"353";
"100175";"333";
"100176";"191";
"100177";"325";
"100178";"124";
"100179";"215";
"100180";"161";
"100181";"122";
"100182";"89";
"100183";"226";
"100184";"135";
"100185";"220";
"100186";"168";
"100187";"232";
"100189";"186";
"100191";"260";
"100192";"97";
"100193";"111";
"100196";"135";
"100197";"185";
"100198";"230";
"100199";"327";
"100202";"231";
"100203";"212";
"100204";"92";
"100205";"156";
"100206";"144";
"100207";"298";
"100208";"208";
"100209";"218";
"100210";"206";
"100211";"216";
"100212";"222";
"100213";"216";
"100214";"0";
"100215";"176";
"100216";"0";
"100217";"101";
"100218";"182";
"100219";"203";
"100220";"221";
"100221";"68";
"100222";"52";
"100223";"57";
"100224";"103";
"100225";"192";
"100226";"55";
"100227";"149";
"100228";"40";
"100229";"440";
"100230";"64";
"100231";"54";
"100232";"51";
"100233";"110";
"100234";"103";
"100235";"110";
"100237";"192";
"100238";"88";
"100239";"0";
"100240";"0";
"100241";"21";
"100242";"208";
"100243";"0";
"100244";"0";
"100245";"18";
"100246";"36";
"100247";"18";
"100248";"54";
"100250";"164";
"100251";"0";
"100252";"0";
"100253";"0";
"100254";"8";
"100255";"0";
"100256";"0";
"100257";"0";
"100258";"0";
"100259";"0";
"100260";"0";
"100262";"169";
"100274";"169";
"100286";"189";
"100298";"109";
"100304";"239";
"100316";"215";
"100328";"413";
"100330";"286";
"100365";"332";
"100389";"166";
"100390";"219";
"100420";"428";
"100432";"210";
"100444";"218";
"100468";"200";
"100470";"277";
"100481";"164";
"100493";"326";
"100500";"305";
"100523";"334";
"100535";"264";
"100547";"190";
"100560";"224";
"100572";"108";
"100584";"268";
"100596";"326";
"100602";"211";
"100638";"337";
"100651";"243";
"100663";"79";
"100675";"203";
"100687";"334";
"100699";"310";
"100705";"458";
"100717";"232";
"100730";"220";
"100742";"436";
"100754";"211";
"100766";"251";
"100778";"392";
"100780";"157";
"100791";"254";
"100808";"323";
"100810";"231";
"100821";"199";
"100833";"392";
"100845";"307";
"100869";"256";
"100870";"187";
"100882";"196";
"100894";"211";
"100900";"203";
"100924";"254";
"100936";"221";
"100950";"267";
"100961";"330";
"100973";"312";
"100985";"222";
"101000";"164";
"101011";"274";
"101023";"360";
"101047";"291";
"101059";"186";
"101060";"270";
"101072";"420";
"101084";"254";
"101126";"294";
"101138";"249";
"101140";"182";
"101151";"336";
"101163";"224";
"101205";"208";
"101217";"351";
"101242";"190";
"101254";"276";
"101266";"218";
"101291";"159";
"101321";"199";
"101333";"386";
"101357";"202";
"101369";"154";
"101370";"220";
"101382";"266";
"101394";"331";
"101400";"479";
"101412";"290";
"101424";"386";
"101436";"296";
"101448";"342";
"101473";"339";
"101485";"362";
"101503";"199";
"101515";"184";
"101527";"353";
"101540";"345";
"101552";"202";
"101564";"363";
"101576";"146";
"101588";"213";
"101606";"345";
"101618";"273";
"101620";"207";
"101631";"287";
"101643";"413";
"101655";"207";
"101667";"311";
"101679";"305";
"101692";"358";
"101709";"300";
"101710";"359";
"101722";"205";
"101734";"267";
"101746";"475";
"101771";"218";
"101801";"424";
"101813";"216";
"101837";"274";
"101850";"227";
"101886";"344";
"101898";"273";
"101904";"294";
"101916";"332";
"101930";"247";
"101941";"288";
"102003";"415";
"102015";"245";
"102027";"191";
"102040";"240";
"102052";"245";
"102064";"466";
"102076";"328";
"102088";"325";
"102106";"285";
"102118";"231";
"102120";"220";
"102143";"214";
"102155";"237";
"102179";"255";
"102180";"216";
"102210";"258";
"102234";"220";
"102246";"205";
"102258";"215";
"102260";"430";
"102271";"243";
"102283";"323";
"102295";"348";
"102301";"186";
"102362";"231";
"102386";"294";
"102398";"216";
"102404";"223";
"102416";"357";
"102430";"188";
"102453";"251";
"102465";"211";
"102489";"339";
"102490";"327";
"102507";"334";
"102519";"309";
"102520";"215";
"102532";"287";
"102544";"427";
"102556";"225";
"102570";"221";
"102600";"207";
"102623";"433";
"102635";"344";
"102647";"218";
"102659";"218";
"102660";"216";
"102672";"242";
"102696";"215";
"102702";"283";
"102714";"193";
"102726";"197";
"102738";"236";
"102740";"223";
"102751";"536";
"102763";"383";
"102775";"218";
"102787";"215";
"102799";"237";
"102805";"396";
"102829";"262";
"102830";"211";
"102842";"227";
"102866";"336";
"102878";"328";
"102880";"183";
"102891";"216";
"102908";"354";
"102921";"231";
"102945";"357";
"102957";"228";
"102970";"187";
"102982";"300";
"102994";"280";
"103020";"337";
"103068";"289";
"103070";"315";
"103081";"303";
"103100";"200";
"103111";"315";
"103123";"206";
"103135";"314";
"103147";"213";
"103159";"370";
"103160";"253";
