sep=;
Traegernummer;Traegerbezeichnung_1;Traegerbezeichnung_2;Traegerbezeichnung_3;Kurzbezeichnung;PLZ;Ort;Strasse;Telefonvorwahl;Telefon;Faxvorwahl;Fax;Gemeindeschluessel;Rechtsform;
"10001";"Montessori Grundschule Dorsten gGmbH";"";"";"Dorsten, Mont. Grundschule Dorsten gGmbH";"46286";"Dorsten";"Kleiner Ring 2";"02369";"2059909";"";"";"05562012";"2";
"10002";"Trägerverein Grundschule";"St. Walburga Neuenheerse";"";"Bad Driburg, Trägerverein St. Walburga";"33014";"Bad Driburg";"Taildor 8";"05259";"559";"";"";"05762004";"2";
"10003";"Deutsche Angestellten-Akademie";"Wirtschaftsfachschule GmbH";"";"Hamburg, DAA Wirtschaftsschule GmbH";"22081";"Hamburg";"Alter Teichweg 19";"";"";"";"";"05999999";"2";
"10004";"LOGOS Verein für russische Kultur";"& Bildung e.V.";"";"Köln, LOGOS e.V.";"51065";"Köln";"Arnsberger Str. 11";"0221";"16908487";"";"";"05315000";"2";
"10005";"Bildungswerkstatt";"Realschule Altenbeken gGmbH";"";"Paderborn, Bildungs. Altenbeken gGmbH";"33100";"Paderborn";"Vattmannstr. 5-5a";"05255";"99930";"";"";"05774032";"2";
"10006";"Bekenntnisorientierte christliche";"Schulen Hamm e.V.";"";"Hamm,Bekenntnis.christl.Schulen Hamm e.V";"59077";"Hamm";"Zechenweg 8";"";"";"";"";"05915000";"2";
"10007";"Gemeinnützige Gesellschaft";"Zukunftsschulen Lippstadt mbH";"";"Lippstadt, Gemeinn.Gesellsch.Zukunftssch";"59556";"Lippstadt";"Im Eichholz 12-14";"02941";"92347011";"";"";"05974028";"2";
"10008";"Verein Freie Waldorfschule Niederrhein-";"Aue e.V.";"";"Rees, Niederrhein-Aue e.V.";"47589";"Uedem";"Meursfeldstr. 8";"";"";"";"";"05154056";"2";
"10009";"Montessori Reform Dorsten gGmbH";"";"";"Dorsten, Montessori Reform Dorsten gGmbH";"46286";"Dorsten";"Dülmener Str. 40";"02369";"2087058";"";"";"05562012";"2";
"10011";"Verein Freie Realschule Niederrhein e.V.";"";"";"Wachtendonk, Fr. Reals. Niederrhein e.V.";"47669";"Wachtendonk";"Kuhdyck 29";"02836";"3469960";"";"";"05154060";"2";
