Stichtag;Schulform;Stadtbezirk;Schulnummer;Schulname;Klasse;Anzahl_SuS
01.10.2022;Realschule;Heepen;100045;Realschule_am_Schlehenweg;5a;29
01.10.2022;Realschule;Heepen;100045;Realschule_am_Schlehenweg;5b;29
01.10.2022;Realschule;Heepen;100045;Realschule_am_Schlehenweg;6a;28
01.10.2022;Realschule;Heepen;100045;Realschule_am_Schlehenweg;6b;29
01.10.2022;Realschule;Heepen;100045;Realschule_am_Schlehenweg;7a;24
01.10.2022;Realschule;Heepen;100045;Realschule_am_Schlehenweg;7b;28
01.10.2022;Realschule;Heepen;100045;Realschule_am_Schlehenweg;8a;28
01.10.2022;Realschule;Heepen;100045;Realschule_am_Schlehenweg;8b;28
01.10.2022;Realschule;Heepen;100045;Realschule_am_Schlehenweg;9a;21
01.10.2022;Realschule;Heepen;100045;Realschule_am_Schlehenweg;9b;25
01.10.2022;Realschule;Heepen;100045;Realschule_am_Schlehenweg;IK1;18
01.10.2022;Realschule;Heepen;100045;Realschule_am_Schlehenweg;IK2;18
01.10.2022;Sekundarschule;Mitte;100046;Sekundarschule_Koenigsbruegge;5a;27
01.10.2022;Sekundarschule;Mitte;100046;Sekundarschule_Koenigsbruegge;5b;25
01.10.2022;Sekundarschule;Mitte;100046;Sekundarschule_Koenigsbruegge;5c;27
01.10.2022;Sekundarschule;Mitte;100046;Sekundarschule_Koenigsbruegge;6a;25
01.10.2022;Sekundarschule;Mitte;100046;Sekundarschule_Koenigsbruegge;6b;23
01.10.2022;Sekundarschule;Mitte;100046;Sekundarschule_Koenigsbruegge;6c;23
01.10.2022;Sekundarschule;Mitte;100046;Sekundarschule_Koenigsbruegge;7a;25
01.10.2022;Sekundarschule;Mitte;100046;Sekundarschule_Koenigsbruegge;7b;23
01.10.2022;Sekundarschule;Mitte;100046;Sekundarschule_Koenigsbruegge;7c;24
01.10.2022;Sekundarschule;Mitte;100046;Sekundarschule_Koenigsbruegge;8a;25
01.10.2022;Sekundarschule;Mitte;100046;Sekundarschule_Koenigsbruegge;8b;23
01.10.2022;Sekundarschule;Mitte;100046;Sekundarschule_Koenigsbruegge;8c;27
01.10.2022;Sekundarschule;Mitte;100046;Sekundarschule_Koenigsbruegge;9a;25
01.10.2022;Sekundarschule;Mitte;100046;Sekundarschule_Koenigsbruegge;9b;25
01.10.2022;Sekundarschule;Mitte;100046;Sekundarschule_Koenigsbruegge;9c;24
01.10.2022;Sekundarschule;Mitte;100046;Sekundarschule_Koenigsbruegge;IK;17
01.10.2022;Sekundarschule;Mitte;100046;Sekundarschule_Koenigsbruegge;IK2;19
01.10.2022;Sekundarschule;Mitte;100046;Sekundarschule_Koenigsbruegge;IK3;6
01.10.2022;Sekundarschule;Schildesche;100047;Sekundarschule_Gellershagen;05a;26
01.10.2022;Sekundarschule;Schildesche;100047;Sekundarschule_Gellershagen;05b;26
01.10.2022;Sekundarschule;Schildesche;100047;Sekundarschule_Gellershagen;05c;26
01.10.2022;Sekundarschule;Schildesche;100047;Sekundarschule_Gellershagen;05d;26
01.10.2022;Sekundarschule;Schildesche;100047;Sekundarschule_Gellershagen;06a;26
01.10.2022;Sekundarschule;Schildesche;100047;Sekundarschule_Gellershagen;06b;26
01.10.2022;Sekundarschule;Schildesche;100047;Sekundarschule_Gellershagen;06c;27
01.10.2022;Sekundarschule;Schildesche;100047;Sekundarschule_Gellershagen;06d;27
01.10.2022;Sekundarschule;Schildesche;100047;Sekundarschule_Gellershagen;07a;27
01.10.2022;Sekundarschule;Schildesche;100047;Sekundarschule_Gellershagen;07b;27
01.10.2022;Sekundarschule;Schildesche;100047;Sekundarschule_Gellershagen;07c;27
01.10.2022;Sekundarschule;Schildesche;100047;Sekundarschule_Gellershagen;08a;26
01.10.2022;Sekundarschule;Schildesche;100047;Sekundarschule_Gellershagen;08b;25
01.10.2022;Sekundarschule;Schildesche;100047;Sekundarschule_Gellershagen;08c;25
01.10.2022;Sekundarschule;Schildesche;100047;Sekundarschule_Gellershagen;09a;26
01.10.2022;Sekundarschule;Schildesche;100047;Sekundarschule_Gellershagen;09b;26
01.10.2022;Sekundarschule;Schildesche;100047;Sekundarschule_Gellershagen;09c;26
01.10.2022;Grundschule;Mitte;124126;Klosterschule;01A;19
01.10.2022;Grundschule;Mitte;124126;Klosterschule;01B;20
01.10.2022;Grundschule;Mitte;124126;Klosterschule;01C;19
01.10.2022;Grundschule;Mitte;124126;Klosterschule;02A;21
01.10.2022;Grundschule;Mitte;124126;Klosterschule;02B;22
01.10.2022;Grundschule;Mitte;124126;Klosterschule;02C;21
01.10.2022;Grundschule;Mitte;124126;Klosterschule;03A;24
01.10.2022;Grundschule;Mitte;124126;Klosterschule;03B;24
01.10.2022;Grundschule;Mitte;124126;Klosterschule;04A;24
01.10.2022;Grundschule;Mitte;124126;Klosterschule;04B;22
01.10.2022;Grundschule;Mitte;124126;Klosterschule;04C;21
01.10.2022;Grundschule;Schildesche;124138;Sudbrackschule;01/02 A;25
01.10.2022;Grundschule;Schildesche;124138;Sudbrackschule;01/02 B;24
01.10.2022;Grundschule;Schildesche;124138;Sudbrackschule;01/02 C;25
01.10.2022;Grundschule;Schildesche;124138;Sudbrackschule;01/02 D;24
01.10.2022;Grundschule;Schildesche;124138;Sudbrackschule;01/02 E;24
01.10.2022;Grundschule;Schildesche;124138;Sudbrackschule;01/02 F;25
01.10.2022;Grundschule;Schildesche;124138;Sudbrackschule;01/02 G;26
01.10.2022;Grundschule;Schildesche;124138;Sudbrackschule;01/02 H;25
01.10.2022;Grundschule;Schildesche;124138;Sudbrackschule;03A;23
01.10.2022;Grundschule;Schildesche;124138;Sudbrackschule;03B;23
01.10.2022;Grundschule;Schildesche;124138;Sudbrackschule;03d;24
01.10.2022;Grundschule;Schildesche;124138;Sudbrackschule;04A;24
01.10.2022;Grundschule;Schildesche;124138;Sudbrackschule;04B;23
01.10.2022;Grundschule;Schildesche;124138;Sudbrackschule;04C;24
01.10.2022;Grundschule;Schildesche;124138;Sudbrackschule;04d;24
01.10.2022;Grundschule;Stieghorst;124151;Osningschule;01A;27
01.10.2022;Grundschule;Stieghorst;124151;Osningschule;01B;26
01.10.2022;Grundschule;Stieghorst;124151;Osningschule;01C;27
01.10.2022;Grundschule;Stieghorst;124151;Osningschule;02A;29
01.10.2022;Grundschule;Stieghorst;124151;Osningschule;02B;29
01.10.2022;Grundschule;Stieghorst;124151;Osningschule;02C;28
01.10.2022;Grundschule;Stieghorst;124151;Osningschule;03A;25
01.10.2022;Grundschule;Stieghorst;124151;Osningschule;03B;26
01.10.2022;Grundschule;Stieghorst;124151;Osningschule;03C;26
01.10.2022;Grundschule;Stieghorst;124151;Osningschule;04A;25
01.10.2022;Grundschule;Stieghorst;124151;Osningschule;04B;22
01.10.2022;Grundschule;Stieghorst;124151;Osningschule;04C;24
01.10.2022;Grundschule;Mitte;124163;Diesterwegschule;01A;25
01.10.2022;Grundschule;Mitte;124163;Diesterwegschule;01B;24
01.10.2022;Grundschule;Mitte;124163;Diesterwegschule;01C;25
01.10.2022;Grundschule;Mitte;124163;Diesterwegschule;02A;29
01.10.2022;Grundschule;Mitte;124163;Diesterwegschule;02B;28
01.10.2022;Grundschule;Mitte;124163;Diesterwegschule;03A;30
01.10.2022;Grundschule;Mitte;124163;Diesterwegschule;03B;27
01.10.2022;Grundschule;Mitte;124163;Diesterwegschule;04A;27
01.10.2022;Grundschule;Mitte;124163;Diesterwegschule;04B;25
01.10.2022;Grundschule;Mitte;124175;Volkeningschule;1a;24
01.10.2022;Grundschule;Mitte;124175;Volkeningschule;1b;25
01.10.2022;Grundschule;Mitte;124175;Volkeningschule;1c;25
01.10.2022;Grundschule;Mitte;124175;Volkeningschule;2a;23
01.10.2022;Grundschule;Mitte;124175;Volkeningschule;2b;26
01.10.2022;Grundschule;Mitte;124175;Volkeningschule;2c;23
01.10.2022;Grundschule;Mitte;124175;Volkeningschule;2d;25
01.10.2022;Grundschule;Mitte;124175;Volkeningschule;3a;22
01.10.2022;Grundschule;Mitte;124175;Volkeningschule;3b;22
01.10.2022;Grundschule;Mitte;124175;Volkeningschule;3c;20
01.10.2022;Grundschule;Mitte;124175;Volkeningschule;4a;24
01.10.2022;Grundschule;Mitte;124175;Volkeningschule;4b;22
01.10.2022;Grundschule;Mitte;124175;Volkeningschule;4c;21
01.10.2022;Grundschule;Mitte;124175;Volkeningschule;4d;19
01.10.2022;Grundschule;Mitte;124175;Volkeningschule;3d;23
01.10.2022;Grundschule;Mitte;124175;Volkeningschule;1d;23
01.10.2022;Grundschule;Schildesche;124187;Eichendorffschule;02E;25
01.10.2022;Grundschule;Schildesche;124187;Eichendorffschule;02F;26
01.10.2022;Grundschule;Schildesche;124187;Eichendorffschule;02G;25
01.10.2022;Grundschule;Schildesche;124187;Eichendorffschule;02H;25
01.10.2022;Grundschule;Schildesche;124187;Eichendorffschule;02I;24
01.10.2022;Grundschule;Schildesche;124187;Eichendorffschule;02K;24
01.10.2022;Grundschule;Schildesche;124187;Eichendorffschule;02L;25
01.10.2022;Grundschule;Schildesche;124187;Eichendorffschule;02M;25
01.10.2022;Grundschule;Schildesche;124187;Eichendorffschule;02O;25
01.10.2022;Grundschule;Schildesche;124187;Eichendorffschule;04A;18
01.10.2022;Grundschule;Schildesche;124187;Eichendorffschule;04B;20
01.10.2022;Grundschule;Schildesche;124187;Eichendorffschule;04C;22
01.10.2022;Grundschule;Dornberg;124199;GSV_Wellensiek_Hoberge_Uerentrup;01A;20
01.10.2022;Grundschule;Dornberg;124199;GSV_Wellensiek_Hoberge_Uerentrup;01B;22
01.10.2022;Grundschule;Dornberg;124199;GSV_Wellensiek_Hoberge_Uerentrup;01C;28
01.10.2022;Grundschule;Dornberg;124199;GSV_Wellensiek_Hoberge_Uerentrup;02A;22
01.10.2022;Grundschule;Dornberg;124199;GSV_Wellensiek_Hoberge_Uerentrup;02B;23
01.10.2022;Grundschule;Dornberg;124199;GSV_Wellensiek_Hoberge_Uerentrup;02C;18
01.10.2022;Grundschule;Dornberg;124199;GSV_Wellensiek_Hoberge_Uerentrup;02D;17
01.10.2022;Grundschule;Dornberg;124199;GSV_Wellensiek_Hoberge_Uerentrup;03A;18
01.10.2022;Grundschule;Dornberg;124199;GSV_Wellensiek_Hoberge_Uerentrup;03B;18
01.10.2022;Grundschule;Dornberg;124199;GSV_Wellensiek_Hoberge_Uerentrup;03C;26
01.10.2022;Grundschule;Dornberg;124199;GSV_Wellensiek_Hoberge_Uerentrup;04A;25
01.10.2022;Grundschule;Dornberg;124199;GSV_Wellensiek_Hoberge_Uerentrup;04C;29
01.10.2022;Grundschule;Mitte;124205;Ruﬂheideschule;1a;27
01.10.2022;Grundschule;Mitte;124205;Ruﬂheideschule;1b;27
01.10.2022;Grundschule;Mitte;124205;Ruﬂheideschule;1c;27
01.10.2022;Grundschule;Mitte;124205;Ruﬂheideschule;2a;25
01.10.2022;Grundschule;Mitte;124205;Ruﬂheideschule;2b;27
01.10.2022;Grundschule;Mitte;124205;Ruﬂheideschule;2c;27
01.10.2022;Grundschule;Mitte;124205;Ruﬂheideschule;2d;23
01.10.2022;Grundschule;Mitte;124205;Ruﬂheideschule;3a;25
01.10.2022;Grundschule;Mitte;124205;Ruﬂheideschule;3b;26
01.10.2022;Grundschule;Mitte;124205;Ruﬂheideschule;3c;24
01.10.2022;Grundschule;Mitte;124205;Ruﬂheideschule;4a;26
01.10.2022;Grundschule;Mitte;124205;Ruﬂheideschule;4b;25
01.10.2022;Grundschule;Mitte;124205;Ruﬂheideschule;4c;27
01.10.2022;Grundschule;Schildesche;124217;Plaﬂschule;01A;23
01.10.2022;Grundschule;Schildesche;124217;Plaﬂschule;01B;25
01.10.2022;Grundschule;Schildesche;124217;Plaﬂschule;01C;23
01.10.2022;Grundschule;Schildesche;124217;Plaﬂschule;02A;27
01.10.2022;Grundschule;Schildesche;124217;Plaﬂschule;02B;26
01.10.2022;Grundschule;Schildesche;124217;Plaﬂschule;02C;27
01.10.2022;Grundschule;Schildesche;124217;Plaﬂschule;03A;22
01.10.2022;Grundschule;Schildesche;124217;Plaﬂschule;03B;23
01.10.2022;Grundschule;Schildesche;124217;Plaﬂschule;03C;23
01.10.2022;Grundschule;Schildesche;124217;Plaﬂschule;04A;25
01.10.2022;Grundschule;Schildesche;124217;Plaﬂschule;04B;22
01.10.2022;Grundschule;Schildesche;124217;Plaﬂschule;04C;23
01.10.2022;Grundschule;Mitte;124229;GSV_noerdliche_Innenstadt_(Hellingskampschule);03C;19
