Schulnummer;Kurzbezeichnung;Bezirksregierung;Kreis;Gemeinde;Sozialindexstufe
100011;Haan, GE Walder Stra·e;BR DÅsseldorf;Kreis Mettmann;Haan;4
100012;Leverkusen, GG Am Friedenspark;BR Kîln;Stadt Leverkusen;Leverkusen;9
100014;Herne, GG Kolibri-Schule;BR Arnsberg;Stadt Herne;Herne;5
100015;DÅsseldorf, Gym Wim-Wenders;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;4
100016;Stolberg, GE KupferstÑdter;BR Kîln;StÑdteregion Aachen;Stolberg (Rhld.);5
100017;HÅrth, GG Bonnstra·e;BR Kîln;Rhein-Erft-Kreis;HÅrth;4
100019;Kleve, GE Joseph Beuys;BR DÅsseldorf;Kreis Kleve;Kleve;7
100020;DÅsseldorf, KG Kartause-Hain-Schule;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;5
100021;Tînisvorst, GE Rupert-Neudeck;BR DÅsseldorf;Kreis Viersen;Tînisvorst;4
100022;Medebach, SK Medebach-Winterberg;BR Arnsberg;Hochsauerlandkreis;Medebach;2
100023;Lengerich, GE Lengerich/Tecklenburg;BR MÅnster;Kreis Steinfurt;Lengerich;3
100024;Gronau, GE Euregioschule;BR MÅnster;Kreis Borken;Gronau (Westf.);3
100026;Bad Driburg, GG Schule unter der Iburg;BR Detmold;Kreis Hîxter;Bad Driburg;2
100028;Essen, RS im Bezirk Zollverein;BR DÅsseldorf;Stadt Essen;Essen;8
100029;Oberhausen,GG Schule a. d. Oranienstra·e;BR DÅsseldorf;Stadt Oberhausen;Oberhausen;3
100032;BrÅhl, GG (Verb.) Regenbogenschule;BR Kîln;Rhein-Erft-Kreis;BrÅhl;7
100036;Kîln, GE Gesamtschule Helios;BR Kîln;Stadt Kîln;Kîln;3
100038;LÅdenscheid, GG Wefelshohl;BR Arnsberg;MÑrkischen Kreis;LÅdenscheid;6
100040;Kîln, Gym Neue Sandkaul;BR Kîln;Stadt Kîln;Kîln;2
100041;Kîln, GE Wasseramselweg;BR Kîln;Stadt Kîln;Kîln;4
100042;Geldern, GE Kînigsberger Stra·e;BR DÅsseldorf;Kreis Kleve;Geldern;4
100044;GÅtersloh, GE an der Ahornallee;BR Detmold;Kreis GÅtersloh;GÅtersloh;3
100045;Bielefeld, RS am Schlehenweg;BR Detmold;Stadt Bielefeld;Bielefeld;6
100046;Bielefeld, SK KînigsbrÅgge;BR Detmold;Stadt Bielefeld;Bielefeld;7
100047;Bielefeld, SK Gellershagen;BR Detmold;Stadt Bielefeld;Bielefeld;5
100048;Bochum, GE Bochum-Mitte;BR Arnsberg;Stadt Bochum;Bochum;8
